DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,SCALEB,SCALEG,SCALEE,PAYHELP,ENERGYASST,COLDMA,HOTMA
1556.11,0.0,0.0,0.0,0,0,0,-2,0,0,0
997.59,746.23,0.0,0.0,0,0,0,-2,0,0,0
2113.29,297.2,0.0,0.0,0,0,0,-2,0,0,0
3185.02,0.0,1444.33,0.0,0,0,0,-2,0,0,0
1420.62,290.36,0.0,0.0,0,0,0,-2,0,0,0
1572.6,1219.49,0.0,0.0,0,0,0,-2,0,0,0
1083.01,0.0,1698.39,0.0,2,0,0,-2,0,0,0
430.15,0.0,0.0,0.0,0,0,0,-2,0,0,0
727.53,572.89,0.0,0.0,0,0,0,-2,0,0,0
1100.41,590.74,0.0,0.0,0,0,0,-2,0,0,0
1627.21,510.78,0.0,0.0,0,0,0,-2,0,0,0
1675.4,0.0,0.0,0.0,0,0,0,-2,0,0,0
1239.9,0.0,0.0,0.0,0,0,0,-2,0,0,0
1575.4,1216.43,0.0,0.0,0,0,0,-2,0,0,0
1079.35,0.0,0.0,0.0,0,3,0,-2,0,0,0
736.65,372.15,0.0,0.0,0,0,0,-2,0,0,0
1302.77,0.0,1076.46,55.17,0,0,0,-2,0,0,0
1551.47,722.22,0.0,0.0,0,0,0,-2,0,0,0
810.89,221.48,0.0,0.0,1,2,0,-2,0,0,0
622.89,75.86,0.0,0.0,1,0,0,-2,1,0,0
1391.95,594.27,0.0,0.0,0,0,0,-2,0,0,0
1167.76,0.0,0.0,0.0,0,0,0,-2,0,0,0
3103.15,0.0,0.0,0.0,0,0,0,-2,0,0,0
1879.44,0.0,0.0,0.0,0,0,0,-2,0,0,0
687.74,0.0,0.0,0.0,0,0,0,-2,0,0,0
2163.22,26.09,0.0,0.0,0,0,3,1,1,0,0
1042.42,452.48,0.0,0.0,1,3,0,-2,0,0,0
1591.64,0.0,0.0,3174.55,0,0,0,-2,0,0,0
802.18,507.73,0.0,0.0,0,3,0,-2,0,0,0
1341.16,1769.17,0.0,0.0,0,0,0,-2,0,0,0
2101.43,206.36,0.0,0.0,0,0,0,-2,0,0,0
671.21,5.78,0.0,0.0,0,0,0,-2,0,0,0
1273.29,493.21,0.0,0.0,0,0,0,-2,0,0,0
946.31,689.47,0.0,0.0,0,0,0,-2,0,0,0
807.13,749.6,0.0,0.0,3,0,0,-2,0,0,0
176.96,437.04,0.0,0.0,0,0,0,-2,0,0,0
2194.39,0.0,0.0,0.0,1,0,3,1,0,0,0
259.69,693.01,0.0,0.0,0,0,0,-2,0,0,0
1398.47,612.03,0.0,0.0,0,0,0,-2,0,0,0
1713.37,1720.48,0.0,0.0,0,0,0,-2,0,0,0
4204.98,0.0,0.0,0.0,1,0,2,0,0,0,0
1369.99,528.63,0.0,0.0,0,0,0,-2,0,0,0
